Date,auction_name,contract,auction_price_eur,auction_volume_tco2,total_revenue_eur,cover_ratio,country,source,source_url
2021-05-10,Auction 4. Period CAP3 EU,T3PA,51.81,3288500,170377185.0,1.77,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-05-11,Auction 4. Period CAP3 EU,T3PA,51.59,3288500,169653715.0,1.56,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-05-12,Auction 4. Period CAP3 PL,T3PA,53.95,2575000,138921250.0,1.97,PL,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-05-12,EUAA Auction CAP3 EU,EAA3,54.22,614500,33318190.0,3.17,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-05-17,Auction 4. Period CAP3 EU,T3PA,55.57,3288500,182741945.0,1.49,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-05-18,Auction 4. Period CAP3 EU,T3PA,55.53,3288500,182610405.0,1.47,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-05-19,Auction 4. Period CAP3 PL,T3PA,52.12,2575000,134209000.0,1.63,PL,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-05-20,Auction 4. Period CAP3 EU,T3PA,50.84,3288500,167187340.0,1.31,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-05-21,Auction 4. Period DE,T3PA,52.71,2651000,139734210.0,1.67,DE,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-05-25,Auction 4. Period CAP3 EU,T3PA,53.09,3288500,174586465.0,1.24,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-05-26,Auction 4. Period CAP3 PL,T3PA,54.07,2575000,139230250.0,1.79,PL,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-05-27,Auction 4. Period CAP3 EU,T3PA,52.11,3288500,171363735.0,1.47,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-05-28,Auction 4. Period DE,T3PA,51.08,2651000,135413080.0,1.63,DE,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-06-01,Auction 4. Period CAP3 EU,T3PA,52.58,3288500,172909330.0,1.26,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-06-02,Auction 4. Period CAP3 PL,T3PA,51.5,2575000,132612500.0,1.53,PL,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-06-03,Auction 4. Period CAP3 EU,T3PA,51.9,3288500,170673150.0,1.75,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-06-04,Auction 4. Period DE,T3PA,49.55,2651000,131357050.0,1.69,DE,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-06-07,Auction 4. Period CAP3 EU,T3PA,48.56,3288500,159689560.0,1.69,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-06-08,Auction 4. Period CAP3 EU,T3PA,52.03,3288500,171100655.0,1.27,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-06-09,Auction 4. Period CAP3 PL,T3PA,53.7,2575000,138277500.0,1.66,PL,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-06-10,Auction 4. Period CAP3 EU,T3PA,53.3,3288500,175277050.0,1.45,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-06-11,Auction 4. Period DE,T3PA,53.12,2651000,140821120.0,1.61,DE,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-06-14,Auction 4. Period CAP3 EU,T3PA,53.6,3288500,176263600.0,1.72,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-06-15,Auction 4. Period CAP3 EU,T3PA,51.18,3288500,168305430.0,1.33,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-06-16,Auction 4. Period CAP3 PL,T3PA,50.83,2575000,130887250.0,1.41,PL,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-06-17,Auction 4. Period CAP3 EU,T3PA,50.84,3288500,167187340.0,1.38,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-06-18,Auction 4. Period DE,T3PA,51.51,2651000,136553010.0,1.41,DE,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-06-21,Auction 4. Period CAP3 EU,T3PA,52.09,3288500,171297965.0,1.47,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-06-22,Auction 4. Period CAP3 EU,T3PA,52.97,3288500,174191845.0,1.33,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-06-23,Auction 4. Period CAP3 PL,T3PA,53.62,2575000,138071500.0,1.36,PL,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-06-24,Auction 4. Period CAP3 EU,T3PA,54.85,3288500,180374225.0,1.52,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-06-25,Auction 4. Period DE,T3PA,55.69,2651000,147634190.0,1.91,DE,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-06-28,Auction 4. Period CAP3 EU,T3PA,55.06,3288500,181064810.0,1.27,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-06-29,Auction 4. Period CAP3 EU,T3PA,55.39,3290000,182233100.0,1.32,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-06-30,Auction 4. Period CAP3 PL,T3PA,55.57,2575000,143092750.0,1.26,PL,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-07-01,Auction 4. Period CAP3 EU,T3PA,58.01,3288500,190765885.0,1.44,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-07-02,Auction 4. Period DE,T3PA,57.11,2651000,151398610.0,1.41,DE,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-07-05,Auction 4. Period CAP3 EU,T3PA,57.91,3288500,190437035.0,1.31,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-07-06,Auction 4. Period CAP3 EU,T3PA,57.15,3288500,187937775.0,1.44,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-07-07,Auction 4. Period CAP3 PL,T3PA,53.98,2575000,138998500.0,1.61,PL,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-07-07,EUAA Auction CAP3 EU,EAA3,53.15,614500,32660675.0,2.42,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-07-08,Auction 4. Period CAP3 EU,T3PA,51.09,3288500,168009465.0,1.54,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
