quantile,horizon,feature,coefficient
0.1,23,icap_return_last,0.0
0.1,23,eurusd_last,0.0
0.1,23,brent_price_last,-0.013511347003646746
0.1,23,y_lag_1,0.0
0.1,23,y_lag_5,0.0
0.1,23,y_lag_10,0.0
0.1,23,y_lag_20,0.0
0.1,23,y_mean_20,0.0
0.1,23,y_std_20,0.0
0.1,24,y_return_last,0.0
0.1,24,y_last,0.0
0.1,24,eua_high_last,0.4795503839040612
0.1,24,eua_low_last,0.41887198949607457
0.1,24,eua_volume_last,-1.7931362886306473e-06
0.1,24,eua_range_last,0.0
0.1,24,eua_range_pct_last,0.0
0.1,24,icap_secondary_last,0.0
0.1,24,icap_return_last,0.0
0.1,24,eurusd_last,0.0
0.1,24,brent_price_last,-0.012343533742501378
0.1,24,y_lag_1,0.0
0.1,24,y_lag_5,0.0
0.1,24,y_lag_10,0.0
0.1,24,y_lag_20,0.0
0.1,24,y_mean_20,0.0
0.1,24,y_std_20,0.0
0.1,25,y_return_last,0.0
0.1,25,y_last,0.06479309475533458
0.1,25,eua_high_last,0.3846420921673709
0.1,25,eua_low_last,0.4465316335372298
0.1,25,eua_volume_last,1.1149438763223649e-07
0.1,25,eua_range_last,0.0
0.1,25,eua_range_pct_last,0.0
0.1,25,icap_secondary_last,0.001075700332894763
0.1,25,icap_return_last,0.0
0.1,25,eurusd_last,0.0
0.1,25,brent_price_last,-0.013204772692423716
0.1,25,y_lag_1,0.0
0.1,25,y_lag_5,0.0
0.1,25,y_lag_10,0.0
0.1,25,y_lag_20,0.0
0.1,25,y_mean_20,0.0
0.1,25,y_std_20,0.0
0.1,26,y_return_last,0.0
0.1,26,y_last,0.10089310746723411
0.1,26,eua_high_last,0.4738908954652389
0.1,26,eua_low_last,0.31444955009765213
0.1,26,eua_volume_last,-1.9770602366357214e-06
0.1,26,eua_range_last,0.0
0.1,26,eua_range_pct_last,0.0
0.1,26,icap_secondary_last,-0.0011382826708029343
0.1,26,icap_return_last,0.0
0.1,26,eurusd_last,0.0
0.1,26,brent_price_last,-0.015322138430323916
0.1,26,y_lag_1,0.0
0.1,26,y_lag_5,0.0
0.1,26,y_lag_10,0.0
0.1,26,y_lag_20,0.0
0.1,26,y_mean_20,0.0
0.1,26,y_std_20,0.0
0.1,27,y_return_last,0.0
0.1,27,y_last,0.021033474964095085
0.1,27,eua_high_last,0.7015476395430882
0.1,27,eua_low_last,0.16991262654923045
0.1,27,eua_volume_last,-2.5605221543090497e-06
0.1,27,eua_range_last,0.0
0.1,27,eua_range_pct_last,0.0
0.1,27,icap_secondary_last,-0.012155373693823987
0.1,27,icap_return_last,0.0
0.1,27,eurusd_last,0.0
0.1,27,brent_price_last,-0.015583426514633557
0.1,27,y_lag_1,0.0
0.1,27,y_lag_5,0.0
0.1,27,y_lag_10,0.0
0.1,27,y_lag_20,0.0
0.1,27,y_mean_20,0.0
0.1,27,y_std_20,0.0
0.1,28,y_return_last,0.0
0.1,28,y_last,0.0
0.1,28,eua_high_last,0.46114822103520814
0.1,28,eua_low_last,0.4388338775416915
0.1,28,eua_volume_last,-4.5007135416066774e-07
0.1,28,eua_range_last,0.0
0.1,28,eua_range_pct_last,0.0
0.1,28,icap_secondary_last,-0.019381509073355074
0.1,28,icap_return_last,0.0
0.1,28,eurusd_last,0.0
0.1,28,brent_price_last,-0.01539981977661626
0.1,28,y_lag_1,0.0
0.1,28,y_lag_5,0.0
0.1,28,y_lag_10,0.0
0.1,28,y_lag_20,0.0
0.1,28,y_mean_20,0.0
0.1,28,y_std_20,0.0
0.1,29,y_return_last,0.0
0.1,29,y_last,0.23364439446977991
0.1,29,eua_high_last,0.2551438348299041
0.1,29,eua_low_last,0.41851179908793795
0.1,29,eua_volume_last,3.760425982675551e-06
0.1,29,eua_range_last,0.0
0.1,29,eua_range_pct_last,0.0
0.1,29,icap_secondary_last,-0.02155843591666385
0.1,29,icap_return_last,0.0
0.1,29,eurusd_last,0.0
0.1,29,brent_price_last,-0.01610400249727142
0.1,29,y_lag_1,0.0
0.1,29,y_lag_5,0.0
0.1,29,y_lag_10,0.0
0.1,29,y_lag_20,0.0
0.1,29,y_mean_20,0.0
0.1,29,y_std_20,0.0
0.1,30,y_return_last,0.0
0.1,30,y_last,0.0
0.1,30,eua_high_last,0.4638528582275137
0.1,30,eua_low_last,0.4378756732858669
0.1,30,eua_volume_last,1.139367106404784e-05
0.1,30,eua_range_last,0.0
0.1,30,eua_range_pct_last,0.0
0.1,30,icap_secondary_last,-0.023155274328288712
0.1,30,icap_return_last,0.0
0.1,30,eurusd_last,0.0
0.1,30,brent_price_last,-0.015844612377426057
0.1,30,y_lag_1,0.0
0.1,30,y_lag_5,0.0
0.1,30,y_lag_10,0.0
0.1,30,y_lag_20,0.0
0.1,30,y_mean_20,0.0
0.1,30,y_std_20,0.0
0.5,1,y_return_last,0.0
0.5,1,y_last,0.9193401974640609
0.5,1,eua_high_last,0.006430728374346349
0.5,1,eua_low_last,0.07465684812973651
0.5,1,eua_volume_last,1.0945699180757588e-06
0.5,1,eua_range_last,0.0
0.5,1,eua_range_pct_last,0.0
0.5,1,icap_secondary_last,0.003028133185352168
0.5,1,icap_return_last,0.0
0.5,1,eurusd_last,0.0
0.5,1,brent_price_last,0.00014002494271649266
0.5,1,y_lag_1,0.0
0.5,1,y_lag_5,0.0
0.5,1,y_lag_10,0.0
0.5,1,y_lag_20,0.0
0.5,1,y_mean_20,0.0
0.5,1,y_std_20,0.0
0.5,2,y_return_last,0.0
0.5,2,y_last,0.9514176216666153
0.5,2,eua_high_last,0.0
0.5,2,eua_low_last,0.04341511130361635
0.5,2,eua_volume_last,1.2405460414922772e-06
0.5,2,eua_range_last,0.0
0.5,2,eua_range_pct_last,0.0
0.5,2,icap_secondary_last,0.011396928108860352
0.5,2,icap_return_last,0.0
0.5,2,eurusd_last,0.0
0.5,2,brent_price_last,5.1963128256077874e-05
0.5,2,y_lag_1,0.0
0.5,2,y_lag_5,0.0
0.5,2,y_lag_10,0.0
0.5,2,y_lag_20,0.0
0.5,2,y_mean_20,0.0
0.5,2,y_std_20,0.0
0.5,3,y_return_last,0.0
0.5,3,y_last,0.950596647336559
0.5,3,eua_high_last,0.0
0.5,3,eua_low_last,0.040721942463623755
0.5,3,eua_volume_last,1.919303690881936e-06
0.5,3,eua_range_last,0.0
0.5,3,eua_range_pct_last,0.0
0.5,3,icap_secondary_last,0.015585752936641184
0.5,3,icap_return_last,0.0
0.5,3,eurusd_last,0.0
0.5,3,brent_price_last,4.0466349461984715e-05
0.5,3,y_lag_1,0.0
0.5,3,y_lag_5,0.0
0.5,3,y_lag_10,0.0
0.5,3,y_lag_20,0.0
0.5,3,y_mean_20,0.0
0.5,3,y_std_20,0.0
0.5,4,y_return_last,0.0
0.5,4,y_last,0.9299779643098016
0.5,4,eua_high_last,0.0
0.5,4,eua_low_last,0.05884288976094103
0.5,4,eua_volume_last,3.88263600253506e-06
0.5,4,eua_range_last,0.0
0.5,4,eua_range_pct_last,0.0
0.5,4,icap_secondary_last,0.016958471021024216
0.5,4,icap_return_last,0.0
0.5,4,eurusd_last,0.0
0.5,4,brent_price_last,-0.0005770017307004489
0.5,4,y_lag_1,0.0
0.5,4,y_lag_5,0.0
0.5,4,y_lag_10,0.0
0.5,4,y_lag_20,0.0
0.5,4,y_mean_20,0.0
0.5,4,y_std_20,0.0
0.5,5,y_return_last,0.0
0.5,5,y_last,0.7797408137238766
0.5,5,eua_high_last,0.0
0.5,5,eua_low_last,0.215011521480723
0.5,5,eua_volume_last,6.00362438044563e-06
0.5,5,eua_range_last,0.0
0.5,5,eua_range_pct_last,0.0
0.5,5,icap_secondary_last,0.013665829856354072
0.5,5,icap_return_last,0.0
0.5,5,eurusd_last,0.0
0.5,5,brent_price_last,-0.00039224308181399765
0.5,5,y_lag_1,0.0
0.5,5,y_lag_5,0.0
0.5,5,y_lag_10,0.0
0.5,5,y_lag_20,0.0
0.5,5,y_mean_20,0.0
0.5,5,y_std_20,0.0
0.5,6,y_return_last,0.0
0.5,6,y_last,0.7781051201383277
0.5,6,eua_high_last,0.024319546573282214
0.5,6,eua_low_last,0.18696552346222964
0.5,6,eua_volume_last,6.1814721305725125e-06
0.5,6,eua_range_last,0.0
0.5,6,eua_range_pct_last,0.0
0.5,6,icap_secondary_last,0.016804843273222785
0.5,6,icap_return_last,0.0
0.5,6,eurusd_last,0.0
0.5,6,brent_price_last,-0.0012015889200228038
0.5,6,y_lag_1,0.0
0.5,6,y_lag_5,0.0
0.5,6,y_lag_10,0.0
0.5,6,y_lag_20,0.0
0.5,6,y_mean_20,0.0
0.5,6,y_std_20,0.0
0.5,7,y_return_last,0.0
0.5,7,y_last,0.7952985855902659
0.5,7,eua_high_last,0.10877184389746822
0.5,7,eua_low_last,0.07940978453053836
0.5,7,eua_volume_last,4.8812397771768195e-06
0.5,7,eua_range_last,0.0
0.5,7,eua_range_pct_last,0.0
0.5,7,icap_secondary_last,0.022175038987210634
0.5,7,icap_return_last,0.0
0.5,7,eurusd_last,0.0
0.5,7,brent_price_last,-0.001772762314082284
0.5,7,y_lag_1,0.0
0.5,7,y_lag_5,0.0
0.5,7,y_lag_10,0.0
0.5,7,y_lag_20,0.0
0.5,7,y_mean_20,0.0
0.5,7,y_std_20,0.0
0.5,8,y_return_last,0.0
0.5,8,y_last,0.8546905845313495
0.5,8,eua_high_last,0.0
0.5,8,eua_low_last,0.1301709623162093
0.5,8,eua_volume_last,5.227548820942288e-06
0.5,8,eua_range_last,0.0
0.5,8,eua_range_pct_last,0.0
0.5,8,icap_secondary_last,0.02086970308273708
0.5,8,icap_return_last,0.0
0.5,8,eurusd_last,0.0
0.5,8,brent_price_last,-0.0017660316368391287
0.5,8,y_lag_1,0.0
0.5,8,y_lag_5,0.0
0.5,8,y_lag_10,0.0
0.5,8,y_lag_20,0.0
0.5,8,y_mean_20,0.0
0.5,8,y_std_20,0.0
