regime_family,regime_value,model,horizon,n_samples,mse
trend_vol_regime,up__high_vol,35B raw guarded HDELTA,30,102,40.224290567790966
trend_vol_regime,up__low_vol,Raw tsm,1,126,0.8300049892956546
trend_vol_regime,up__low_vol,35B raw guarded HDELTA,1,126,0.8300049892956546
trend_vol_regime,up__low_vol,4B raw HDELTA,1,126,0.8570402850890033
trend_vol_regime,up__low_vol,Baseline paper CoT-SENT,1,126,0.9965260710382079
trend_vol_regime,up__low_vol,Raw tsm,5,126,3.9933031328292268
trend_vol_regime,up__low_vol,4B raw HDELTA,5,126,4.026347812156407
trend_vol_regime,up__low_vol,Baseline paper CoT-SENT,5,126,4.116290221068689
trend_vol_regime,up__low_vol,35B raw guarded HDELTA,5,126,4.311864955277317
trend_vol_regime,up__low_vol,35B raw guarded HDELTA,20,126,20.320036889724125
trend_vol_regime,up__low_vol,Baseline paper CoT-SENT,20,126,20.492743417327016
trend_vol_regime,up__low_vol,4B raw HDELTA,20,126,20.680841133057005
trend_vol_regime,up__low_vol,Raw tsm,20,126,20.690621976603687
trend_vol_regime,up__low_vol,35B raw guarded HDELTA,30,126,45.6091754468756
trend_vol_regime,up__low_vol,4B raw HDELTA,30,126,46.98760314633305
trend_vol_regime,up__low_vol,Raw tsm,30,126,47.6669310289703
trend_vol_regime,up__low_vol,Baseline paper CoT-SENT,30,126,48.06844369174062
volatility_regime,high_vol,Baseline paper CoT-SENT,1,191,1.8585380860484444
volatility_regime,high_vol,4B raw HDELTA,1,191,1.871364548531606
volatility_regime,high_vol,Raw tsm,1,191,1.873730906374257
volatility_regime,high_vol,35B raw guarded HDELTA,1,191,1.873730906374257
volatility_regime,high_vol,4B raw HDELTA,5,191,8.271684453905008
volatility_regime,high_vol,Raw tsm,5,191,8.295350733440928
volatility_regime,high_vol,Baseline paper CoT-SENT,5,191,8.338838747589929
volatility_regime,high_vol,35B raw guarded HDELTA,5,191,8.556519952961011
volatility_regime,high_vol,Baseline paper CoT-SENT,20,191,34.80677621635362
volatility_regime,high_vol,4B raw HDELTA,20,191,34.89836925235319
volatility_regime,high_vol,Raw tsm,20,191,35.17835837054983
volatility_regime,high_vol,35B raw guarded HDELTA,20,191,36.07316229801099
volatility_regime,high_vol,Baseline paper CoT-SENT,30,191,45.96515749287711
volatility_regime,high_vol,4B raw HDELTA,30,191,46.30698490629892
volatility_regime,high_vol,Raw tsm,30,191,46.52444318631115
volatility_regime,high_vol,35B raw guarded HDELTA,30,191,47.010343875849
volatility_regime,low_vol,Raw tsm,1,191,0.8953663973055911
volatility_regime,low_vol,35B raw guarded HDELTA,1,191,0.8953663973055911
volatility_regime,low_vol,4B raw HDELTA,1,191,0.9202831577227104
volatility_regime,low_vol,Baseline paper CoT-SENT,1,191,1.0091313283050234
volatility_regime,low_vol,Raw tsm,5,191,4.486756268245457
volatility_regime,low_vol,4B raw HDELTA,5,191,4.515281756323041
volatility_regime,low_vol,Baseline paper CoT-SENT,5,191,4.571743089987559
volatility_regime,low_vol,35B raw guarded HDELTA,5,191,4.685357050483237
volatility_regime,low_vol,35B raw guarded HDELTA,20,191,16.57029380573986
volatility_regime,low_vol,Baseline paper CoT-SENT,20,191,16.778522446253092
volatility_regime,low_vol,4B raw HDELTA,20,191,16.944755049953795
volatility_regime,low_vol,Raw tsm,20,191,16.96405078754195
volatility_regime,low_vol,35B raw guarded HDELTA,30,191,34.71939971451022
volatility_regime,low_vol,4B raw HDELTA,30,191,35.68937572399943
volatility_regime,low_vol,Raw tsm,30,191,36.02973900132258
volatility_regime,low_vol,Baseline paper CoT-SENT,30,191,36.210239785972654
