feature,family,summary_stat,score,selected_above_threshold
uk_power_vol_5d,energy,change_20,0.037977639585733414,True
eua_volume,other,change_20,0.03654581680893898,True
uka_power_ratio_z20,other,change_5,0.0363619327545166,True
coal_vol_5d,energy,change_5,0.03545894846320152,True
is_auction_day,uk_auction,std_20,0.0337325818836689,True
uk_temp_max_c,weather,change_20,0.03174731880426407,True
eua_volume,other,last,0.03115806169807911,True
uka_power_return_spread,other,change_5,0.03114590235054493,True
y_momentum_20d,target_derived,change_5,0.0308231171220541,True
target_volume,target_derived,change_20,0.03060145489871502,True
uk_gas_hdd18_surprise_interaction,energy,change_5,0.0298122838139534,True
uk_power_hdd18_surprise_interaction,energy,change_20,0.029631180688738823,True
uk_icap_primary,uk_icap,change_20,0.029471730813384056,True
uk_temp_mean_anom,weather,change_20,0.028154009953141212,True
uka_coal_return_spread,other,change_5,0.02781754918396473,True
uk_power_gas_ratio_z20,energy,change_5,0.026679575443267822,True
uk_temp_min_c,weather,change_5,0.026256296783685684,True
coal_return,energy,change_20,0.024497197940945625,True
coal_brent_ratio_z20,energy,change_5,0.023406188935041428,True
uk_gas_return,energy,change_20,0.022881843149662018,True
uk_icap_secondary_days_since_print,uk_icap,change_5,0.022440722212195396,True
uka_gas_return_spread,other,change_5,0.02218676172196865,True
uk_temp_max_c,weather,change_5,0.02129041776061058,True
coal_return,energy,change_5,0.02111484855413437,True
uk_power_return,energy,change_20,0.020979519933462143,True
brent_return,energy,last,0.020027384161949158,True
uka_range_pct,other,change_20,0.019304266199469566,True
uka_volume,other,change_20,0.018427548930048943,True
uk_power_gas_spread,energy,last,0.017075790092349052,True
y_return,target_derived,change_5,0.016292069107294083,True
y_ma_60d,target_derived,last,0.016233369708061218,True
target_volume,target_derived,last,0.015449774451553822,True
uk_icap_secondary_ffill,uk_icap,last,0.015155156143009663,True
uk_gas_price,energy,change_20,0.014469863846898079,True
target_range_pct,target_derived,last,0.012770785950124264,True
target_range_pct,target_derived,std_20,0.011838213540613651,True
y_momentum_20d,target_derived,change_20,0.011564372107386589,True
uk_hdd18_7d_ma,weather,change_5,0.011503317393362522,True
