2026-02-28 02:58:08 | INFO     | src.models.tsm | Epoch 7/100 - Train: 0.998781, Val: 1.236157
2026-02-28 02:58:13 | INFO     | src.models.tsm | Epoch 8/100 - Train: 0.996787, Val: 1.232841
2026-02-28 02:58:19 | INFO     | src.models.tsm | Epoch 9/100 - Train: 0.996530, Val: 1.220380
2026-02-28 02:58:25 | INFO     | src.models.tsm | Epoch 10/100 - Train: 0.995500, Val: 1.251725
2026-02-28 02:58:31 | INFO     | src.models.tsm | Epoch 11/100 - Train: 0.995111, Val: 1.236118
2026-02-28 02:58:36 | INFO     | src.models.tsm | Epoch 12/100 - Train: 0.993493, Val: 1.274735
2026-02-28 02:58:42 | INFO     | src.models.tsm | Epoch 13/100 - Train: 0.993904, Val: 1.225531
2026-02-28 02:58:42 | INFO     | src.models.tsm | Early stopping at epoch 13
2026-02-28 02:58:52 | INFO     | src.frontend_live_bundle | [8/21] Origin 2022-11-09
2026-02-28 02:58:52 | INFO     | src.models.tsm | Building TSM model: type=autoformer, seq_len=120, pred_len=30
2026-02-28 02:58:52 | INFO     | src.models.tsm | Built Autoformer model with 9463809 parameters
2026-02-28 02:58:58 | INFO     | src.models.tsm | Epoch 1/100 - Train: 1.006589, Val: 1.313383
2026-02-28 02:59:03 | INFO     | src.models.tsm | Epoch 2/100 - Train: 1.005520, Val: 1.323873
2026-02-28 02:59:09 | INFO     | src.models.tsm | Epoch 3/100 - Train: 1.004083, Val: 1.317230
2026-02-28 02:59:14 | INFO     | src.models.tsm | Epoch 4/100 - Train: 1.003551, Val: 1.318500
2026-02-28 02:59:21 | INFO     | src.models.tsm | Epoch 5/100 - Train: 1.003973, Val: 1.329697
2026-02-28 02:59:27 | INFO     | src.models.tsm | Epoch 6/100 - Train: 1.002320, Val: 1.319961
2026-02-28 02:59:32 | INFO     | src.models.tsm | Epoch 7/100 - Train: 1.001573, Val: 1.317610
2026-02-28 02:59:39 | INFO     | src.models.tsm | Epoch 8/100 - Train: 1.000054, Val: 1.314501
2026-02-28 02:59:45 | INFO     | src.models.tsm | Epoch 9/100 - Train: 1.003735, Val: 1.317304
2026-02-28 02:59:50 | INFO     | src.models.tsm | Epoch 10/100 - Train: 1.000426, Val: 1.314564
2026-02-28 02:59:56 | INFO     | src.models.tsm | Epoch 11/100 - Train: 0.998465, Val: 1.318868
2026-02-28 02:59:56 | INFO     | src.models.tsm | Early stopping at epoch 11
2026-02-28 03:00:05 | INFO     | src.frontend_live_bundle | [9/21] Origin 2023-02-07
2026-02-28 03:00:05 | INFO     | src.models.tsm | Building TSM model: type=autoformer, seq_len=120, pred_len=30
