url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,relevance_score,relevance_hits
http://pt.euronews.com/2017/01/29/netanyahu-defende-transferencia-de-embaixada-dos-eua-para-jerusalem,,Netanyahu defende transferência de embaixada dos EUA para Jerusalém,2017-01-29 20:45:00+00:00,http://static.euronews.com/articles/356375/1000x563_356375.jpg,pt.euronews.com,English,United States,8,eu_ets_strong;eu_context
http://pt.euronews.com/2017/01/30/alemanha-schulz-quer-campanha-bastante-distinta-dos-eua,,Alemanha : Schulz quer campanha bastante distinta dos EUA,2017-01-30 20:15:00+00:00,http://static.euronews.com/articles/356479/1000x563_356479.jpg,pt.euronews.com,English,United States,8,eu_ets_strong;eu_context
http://pt.euronews.com/2017/01/30/eua-chovem-as-queixas-em-tribunal-contra-as-leis-de-donald-trump,,EUA : Chovem as queixas em tribunal contra as leis de Donald Trump,2017-01-30 20:15:00+00:00,http://static.euronews.com/articles/356466/1000x563_356466.jpg,pt.euronews.com,English,United States,6,eu_ets_strong
http://carbon-pulse.com/29779/,,EU Market : EUAs climb back above €5 as power prices rebound « Carbon Pulse,2017-01-30 22:00:00+00:00,,carbon-pulse.com,English,France,12,eu_ets_strong;eu_context;carbon_terms=3;energy_driver
http://www.tonga-broadcasting.net/?p=5389,,"MV Vaomapa , the latest inter island ferry made its maiden voyage to ‘ Eua last Saturday – TBC",2017-01-30 23:00:00+00:00,,tonga-broadcasting.net,English,,8,eu_ets_strong;eu_context
http://carbon-pulse.com/29817/,,South Korea to start auctioning CO2 permits from 2018 « Carbon Pulse,2017-01-31 15:00:00+00:00,,carbon-pulse.com,English,France,4,carbon_terms=4
http://carbon-pulse.com/29837/,,"EU Market : EUAs rise for 2nd day to eye €5 . 60 test , break",2017-01-31 21:45:00+00:00,,carbon-pulse.com,English,France,9,eu_ets_strong;eu_context;carbon_terms=1
http://pt.euronews.com/2017/02/01/eua-bloqueio-anti-imigracao-provoca-confusao-para-cidadaos-com-dupla,,EUA : Bloqueio anti,2017-02-01 05:30:00+00:00,http://static.euronews.com/articles/356598/1000x563_356598.jpg,pt.euronews.com,English,United States,6,eu_ets_strong
http://pt.euronews.com/2017/02/01/decreto-de-trump-deixa-familias-cortadas-entre-os-eua-e-o-irao,,Decreto de Trump deixa famílias  cortadas  entre os EUA e o Irão,2017-02-01 10:15:00+00:00,http://static.euronews.com/articles/356597/1000x563_356597.jpg,pt.euronews.com,English,United States,8,eu_ets_strong;eu_context
http://pt.euronews.com/2017/02/01/eua-exercito-retoma-construcao-de-polemico-oleoduto-no-dakota-do-norte,,EUA : Exército retoma construção de polémico oleoduto no Dakota do Norte,2017-02-01 10:15:00+00:00,http://static.euronews.com/articles/356604/1000x563_356604.jpg,pt.euronews.com,English,United States,6,eu_ets_strong
